[2024-07-05 17:15:25,230] 88	T_sample 23.70	T_update 7.38	ETA 16:29:53	expert_R_avg 0.2879 [0.2889,0.3238,0.2049,0.3025,0.9271]	expert_R_range (0.0369, 0.9301)	eps_len 54.48
[2024-07-05 17:15:56,464] 89	T_sample 23.73	T_update 7.40	ETA 16:30:49	expert_R_avg 0.2882 [0.2894,0.3237,0.2055,0.3023,0.9269]	expert_R_range (0.0369, 0.9301)	eps_len 54.93
[2024-07-05 17:16:29,345] 90	T_sample 25.26	T_update 7.51	ETA 17:22:38	expert_R_avg 0.2886 [0.2898,0.3236,0.2061,0.3020,0.9268]	expert_R_range (0.0369, 0.9301)	eps_len 55.36
[2024-07-05 17:17:01,146] 91	T_sample 24.20	T_update 7.49	ETA 16:48:00	expert_R_avg 0.2890 [0.2903,0.3235,0.2067,0.3018,0.9266]	expert_R_range (0.0369, 0.9301)	eps_len 55.80
[2024-07-05 17:17:33,289] 92	T_sample 24.60	T_update 7.44	ETA 16:58:08	expert_R_avg 0.2894 [0.2907,0.3234,0.2074,0.3017,0.9264]	expert_R_range (0.0369, 0.9301)	eps_len 56.23
[2024-07-05 17:18:04,822] 93	T_sample 23.94	T_update 7.48	ETA 16:38:21	expert_R_avg 0.2898 [0.2911,0.3233,0.2081,0.3016,0.9263]	expert_R_range (0.0369, 0.9301)	eps_len 56.67
[2024-07-05 17:18:36,370] 94	T_sample 23.99	T_update 7.45	ETA 16:38:06	expert_R_avg 0.2902 [0.2915,0.3232,0.2088,0.3015,0.9261]	expert_R_range (0.0369, 0.9353)	eps_len 57.10
[2024-07-05 17:19:07,781] 95	T_sample 23.80	T_update 7.52	ETA 16:33:51	expert_R_avg 0.2906 [0.2920,0.3231,0.2095,0.3015,0.9259]	expert_R_range (0.0369, 0.9353)	eps_len 57.53
[2024-07-05 17:19:39,136] 96	T_sample 23.81	T_update 7.45	ETA 16:31:29	expert_R_avg 0.2911 [0.2924,0.3230,0.2102,0.3014,0.9258]	expert_R_range (0.0369, 0.9353)	eps_len 57.95
[2024-07-05 17:20:10,802] 97	T_sample 24.03	T_update 7.54	ETA 16:40:46	expert_R_avg 0.2915 [0.2929,0.3228,0.2109,0.3014,0.9256]	expert_R_range (0.0369, 0.9353)	eps_len 58.37
[2024-07-05 17:20:42,406] 98	T_sample 24.05	T_update 7.46	ETA 16:38:16	expert_R_avg 0.2919 [0.2933,0.3227,0.2117,0.3014,0.9255]	expert_R_range (0.0369, 0.9353)	eps_len 58.80
[2024-07-05 17:21:13,966] 99	T_sample 23.88	T_update 7.56	ETA 16:35:45	expert_R_avg 0.2924 [0.2937,0.3226,0.2124,0.3013,0.9253]	expert_R_range (0.0369, 0.9353)	eps_len 59.22
[2024-07-05 17:21:45,565] 100	T_sample 23.89	T_update 7.58	ETA 16:35:50	expert_R_avg 0.2928 [0.2942,0.3225,0.2132,0.3014,0.9251]	expert_R_range (0.0369, 0.9353)	eps_len 59.63
[2024-07-05 17:22:17,087] 101	T_sample 23.90	T_update 7.52	ETA 16:34:05	expert_R_avg 0.2933 [0.2946,0.3224,0.2139,0.3014,0.9250]	expert_R_range (0.0369, 0.9353)	eps_len 60.05
[2024-07-05 17:22:48,733] 102	T_sample 24.01	T_update 7.54	ETA 16:37:31	expert_R_avg 0.2938 [0.2950,0.3223,0.2148,0.3016,0.9248]	expert_R_range (0.0369, 0.9353)	eps_len 60.46
[2024-07-05 17:23:20,083] 103	T_sample 23.86	T_update 7.38	ETA 16:27:29	expert_R_avg 0.2943 [0.2955,0.3222,0.2156,0.3018,0.9246]	expert_R_range (0.0368, 0.9353)	eps_len 60.87
[2024-07-05 17:23:51,502] 104	T_sample 23.83	T_update 7.48	ETA 16:28:59	expert_R_avg 0.2948 [0.2959,0.3221,0.2164,0.3020,0.9245]	expert_R_range (0.0368, 0.9353)	eps_len 61.27
[2024-07-05 17:24:23,764] 105	T_sample 24.68	T_update 7.47	ETA 16:55:04	expert_R_avg 0.2953 [0.2964,0.3220,0.2173,0.3022,0.9243]	expert_R_range (0.0368, 0.9353)	eps_len 61.68
[2024-07-05 17:24:55,740] 106	T_sample 24.26	T_update 7.62	ETA 16:45:37	expert_R_avg 0.2959 [0.2968,0.3219,0.2181,0.3024,0.9242]	expert_R_range (0.0368, 0.9353)	eps_len 62.08
[2024-07-05 17:25:27,284] 107	T_sample 23.95	T_update 7.49	ETA 16:31:40	expert_R_avg 0.2964 [0.2973,0.3218,0.2190,0.3026,0.9240]	expert_R_range (0.0368, 0.9353)	eps_len 62.48
[2024-07-05 17:25:58,869] 108	T_sample 23.93	T_update 7.55	ETA 16:32:16	expert_R_avg 0.2969 [0.2977,0.3217,0.2198,0.3028,0.9239]	expert_R_range (0.0368, 0.9353)	eps_len 62.88
[2024-07-05 17:26:30,407] 109	T_sample 23.98	T_update 7.45	ETA 16:30:14	expert_R_avg 0.2974 [0.2982,0.3216,0.2207,0.3031,0.9237]	expert_R_range (0.0368, 0.9353)	eps_len 63.28
[2024-07-05 17:27:01,804] 110	T_sample 23.77	T_update 7.51	ETA 16:24:58	expert_R_avg 0.2980 [0.2986,0.3216,0.2216,0.3035,0.9235]	expert_R_range (0.0368, 0.9353)	eps_len 63.67
