[2024-12-01 22:32:48,193] 26	T_sample 17.23	T_update 7.54	ETA 13:34:24	expert_R_avg 0.2891 [0.2609,0.3141,0.1963,0.4405,0.9400]	expert_R_range (0.0461, 0.9136)	eps_len 19.22
[2024-12-01 22:33:13,043] 27	T_sample 17.14	T_update 7.66	ETA 13:35:09	expert_R_avg 0.2896 [0.2608,0.3153,0.1976,0.4390,0.9401]	expert_R_range (0.0502, 0.9160)	eps_len 19.22
[2024-12-01 22:33:37,874] 28	T_sample 17.20	T_update 7.59	ETA 13:34:04	expert_R_avg 0.2894 [0.2636,0.3166,0.1955,0.4369,0.9404]	expert_R_range (0.0477, 0.9159)	eps_len 19.25
[2024-12-01 22:34:02,815] 29	T_sample 17.23	T_update 7.66	ETA 13:37:21	expert_R_avg 0.2879 [0.2620,0.3141,0.1932,0.4396,0.9394]	expert_R_range (0.0499, 0.9059)	eps_len 19.18
[2024-12-01 22:34:27,700] 30	T_sample 17.17	T_update 7.67	ETA 13:35:06	expert_R_avg 0.2851 [0.2582,0.3077,0.1924,0.4329,0.9401]	expert_R_range (0.0471, 0.9143)	eps_len 19.54
[2024-12-01 22:34:52,633] 31	T_sample 17.32	T_update 7.57	ETA 13:36:23	expert_R_avg 0.2839 [0.2590,0.3092,0.1903,0.4262,0.9398]	expert_R_range (0.0440, 0.9177)	eps_len 19.69
[2024-12-01 22:35:16,977] 32	T_sample 16.79	T_update 7.51	ETA 13:16:37	expert_R_avg 0.2851 [0.2562,0.3077,0.1935,0.4338,0.9400]	expert_R_range (0.0495, 0.9278)	eps_len 19.64
[2024-12-01 22:35:41,818] 33	T_sample 17.19	T_update 7.61	ETA 13:32:27	expert_R_avg 0.2868 [0.2582,0.3103,0.1960,0.4312,0.9403]	expert_R_range (0.0450, 0.9085)	eps_len 19.63
[2024-12-01 22:36:06,765] 34	T_sample 17.27	T_update 7.63	ETA 13:35:29	expert_R_avg 0.2835 [0.2568,0.3058,0.1911,0.4291,0.9397]	expert_R_range (0.0490, 0.9205)	eps_len 19.74
[2024-12-01 22:36:31,524] 35	T_sample 17.19	T_update 7.53	ETA 13:28:59	expert_R_avg 0.2839 [0.2556,0.3102,0.1933,0.4224,0.9396]	expert_R_range (0.0474, 0.9158)	eps_len 20.33
[2024-12-01 22:36:56,403] 36	T_sample 17.15	T_update 7.68	ETA 13:32:26	expert_R_avg 0.2845 [0.2570,0.3064,0.1939,0.4252,0.9401]	expert_R_range (0.0466, 0.9260)	eps_len 19.71
[2024-12-01 22:37:21,165] 37	T_sample 17.10	T_update 7.61	ETA 13:28:00	expert_R_avg 0.2858 [0.2603,0.3036,0.1954,0.4240,0.9396]	expert_R_range (0.0474, 0.9133)	eps_len 19.82
[2024-12-01 22:37:45,978] 38	T_sample 17.12	T_update 7.65	ETA 13:29:34	expert_R_avg 0.2809 [0.2535,0.3031,0.1896,0.4229,0.9398]	expert_R_range (0.0447, 0.9176)	eps_len 20.21
[2024-12-01 22:38:10,935] 39	T_sample 17.24	T_update 7.67	ETA 13:33:48	expert_R_avg 0.2805 [0.2538,0.3039,0.1882,0.4233,0.9393]	expert_R_range (0.0444, 0.9178)	eps_len 20.23
[2024-12-01 22:38:35,618] 40	T_sample 16.98	T_update 7.65	ETA 13:24:10	expert_R_avg 0.2787 [0.2523,0.2983,0.1883,0.4144,0.9394]	expert_R_range (0.0449, 0.9226)	eps_len 20.28
[2024-12-01 22:39:00,470] 41	T_sample 17.24	T_update 7.56	ETA 13:29:29	expert_R_avg 0.2786 [0.2525,0.3018,0.1872,0.4145,0.9396]	expert_R_range (0.0450, 0.9210)	eps_len 20.62
[2024-12-01 22:39:25,061] 42	T_sample 17.00	T_update 7.54	ETA 13:20:35	expert_R_avg 0.2799 [0.2562,0.2962,0.1889,0.4139,0.9401]	expert_R_range (0.0457, 0.9171)	eps_len 20.38
[2024-12-01 22:39:50,155] 43	T_sample 17.46	T_update 7.59	ETA 13:36:39	expert_R_avg 0.2765 [0.2519,0.3000,0.1845,0.4097,0.9393]	expert_R_range (0.0459, 0.9150)	eps_len 20.83
