[2024-12-04 00:54:20,419] 67	T_sample 1.22	T_update 0.29	ETA 351 days, 4:18:04	expert_R_avg 0.4311 [0.0000,0.1244,0.0000,0.1244,0.7377]	expert_R_range (0.3573, 0.5264)	eps_len 15.27
[2024-12-04 00:54:21,984] 68	T_sample 1.23	T_update 0.32	ETA 358 days, 14:42:17	expert_R_avg 0.4294 [0.0000,0.1215,0.0000,0.1215,0.7374]	expert_R_range (0.3538, 0.5260)	eps_len 15.24
[2024-12-04 00:54:23,592] 69	T_sample 1.29	T_update 0.30	ETA 368 days, 4:13:36	expert_R_avg 0.4319 [0.0000,0.1264,0.0000,0.1264,0.7373]	expert_R_range (0.3575, 0.5286)	eps_len 14.32
[2024-12-04 00:54:25,219] 70	T_sample 1.32	T_update 0.29	ETA 372 days, 15:43:24	expert_R_avg 0.4298 [0.0000,0.1225,0.0000,0.1225,0.7371]	expert_R_range (0.3579, 0.5263)	eps_len 13.90
[2024-12-04 00:54:26,803] 71	T_sample 1.27	T_update 0.30	ETA 362 days, 9:54:23	expert_R_avg 0.4242 [0.0000,0.1114,0.0000,0.1114,0.7370]	expert_R_range (0.3566, 0.5276)	eps_len 16.06
[2024-12-04 00:54:28,546] 72	T_sample 1.43	T_update 0.29	ETA 399 days, 16:45:09	expert_R_avg 0.4269 [0.0000,0.1168,0.0000,0.1168,0.7369]	expert_R_range (0.3482, 0.5268)	eps_len 14.01
[2024-12-04 00:54:30,147] 73	T_sample 1.28	T_update 0.30	ETA 366 days, 1:00:12	expert_R_avg 0.4368 [0.0000,0.1368,0.0000,0.1368,0.7367]	expert_R_range (0.3581, 0.5262)	eps_len 16.02
[2024-12-04 00:54:31,740] 74	T_sample 1.27	T_update 0.30	ETA 364 days, 14:48:40	expert_R_avg 0.4329 [0.0000,0.1288,0.0000,0.1288,0.7369]	expert_R_range (0.3574, 0.5264)	eps_len 15.73
[2024-12-04 00:54:33,313] 75	T_sample 1.26	T_update 0.30	ETA 360 days, 0:45:54	expert_R_avg 0.4390 [0.0000,0.1411,0.0000,0.1411,0.7368]	expert_R_range (0.3568, 0.5276)	eps_len 14.94
[2024-12-04 00:54:34,897] 76	T_sample 1.27	T_update 0.30	ETA 362 days, 6:38:02	expert_R_avg 0.4274 [0.0000,0.1181,0.0000,0.1181,0.7367]	expert_R_range (0.3544, 0.5257)	eps_len 15.76
